		
'545481069'	'763061181619798016'	'CAUGHT ON CAMERA: York Regional Police chopper catches driver playing #PokemonGO :\r\n'
'24871896'	'763282549321961472'	'Going for gold. Brightening up a cloudy Wednesday morning with a sneak peek in the engine of a #McLarenF1. #MTCSnaps\r\n'
'1261181221'	'756270118942846976'	'Luxurious leather interior with contrasting, well-crafted stitching highlights. #Mazda3\r\n'
'21351688'	'763843488626515968'	Toddler's attempted kidnapping in Glendale caught on surveillance video. Watch:\r\n
'380730306'	'756153185543258112'	'That can only mean one thing..\r\n'
'3103721048'	'634050869621686273'	'@nuggy5 guess where I am\r\n'
'46388145'	'761260646822477826'	'Homeless advocates in Berkeley say officials are dumping too many prizedpersonal possessions\r\n'
'4736170399'	'762384810417545216'	You don't see that everyday. #VirWINia\r\n
'208342074'	'632207603653677058'	'Here I come @AnimeRevCanada\r\n'
'82656516'	'757649381311057921'	'Going live soon @HuffPostPol from @OccupyDNC March - lots of groups converting towards convention center #DNCinPHL\r\n'
'2441831348'	'763752342000902144'	'Evel Knievel jumps over 17 cars, photo by Ralph Crane, 1971.\r\n'
'2284299860'	'741680918776008704'	'Getting ready to run!! @MillerChildrens #Championsrunforlife #fightcancer #Kindnessmatters.  #TorchRun\r\n'
'3233123874'	'765378658064183296'	'@vibedration cant wait to rock this for nocturnal \r\n'
'315916271'	'763042624995459072'	'Rivaldo Correa, una de las figuras de #Antioquia en el 1er tiempo vs #Bogot. Vamos 2-0 arriba.\r\n'
'85543664'	'761928821671014402'	My two cents,. If you can't handle heels, don't wear them -- OR!! bring flats and stow your heels in your bag.\r\n
'2349412745'	'702160089818472448'	'@LuxuryFact seen in my town last Friday #oush\r\n'
'3324428852'	'759138151738642432'	'One armed cowboy and three long horns on the roof of a trailer! #nowiveseenitall\r\n'
'2590528932'	'764298969618972672'	'Parked car conversations are everything\r\n'
'558148571'	'261622455767027714'	Just cause it's sideways and looks like a Z doesn't mean we don't know it's an N\r\n
'19417134'	'717788637979521024'	'#Rams battled major injuries in 2015, and metrics show it.\r\n'
'845533752'	'697076619530399744'	'Pamela Abbott, Stratham, says Sanders is straightforward and sticks to his guns. @seacoastonline @FostersDailyDem\r\n'
'82656516'	'755124276492132353'	"'""Revolutionary communists"" here and anarchists - plan is to March after concert and they have no permit. #RNCinCLE\r\n'"
'80928773'	'743836569900060672'	'@BernieSanders campaign shifts to public health messaging\r\n'
'383571783'	'757780261169926146'	'I entered the #PacificaPetsContest for The Secret Life of Pets prizes sponsored by Chrysler\r\n'
'108247668'	'759744192608296960'	'#GermanGP ends with #Seb5 P5 and #Kimi7 P6  #redseason\r\n'
'2413531399'	'756917100501884928'	Sorry Jared, you can't shop here.\r\n
'237603271'	'449134318628003840'	'Anyone know what flag this is? Watching #truedetective and keep seeing it. Looks so much like Philippine flag.\r\n'
'584547571'	'762688803689500673'	If you're a Compex device owner, we'd love to hear from you by leaving a product review:\r\n
'823500462'	'671635324817285121'	'Car and driver analytics changing the way we drive. #HPEDiscover\r\n'
'108247668'	'759725840217153537'	'#Seb5 pitting for options #GermanGP #redseason\r\n'
'845533752'	'745986814616416256'	'Police motorcycle v. car on Ocean Blvd @hamptonbeach_NH @HamptonUnion @seacoastonline No visible personal injury.\r\n'
'2330712260'	'515931939497193472'	'Ronan live w/ @AlexWitt covering #GlobalCitizenFestival on @msnbc. This epic concert starts in less than an hour!\r\n'
'63190760'	'720945087774113792'	'Let your kids know how proud you are of them!\r\n'
'115525572'	'763817370833989632'	'Utah to host Southern Utah in 2022 -\r\n'
'22090181'	'748002680140894208'	It's gyros for lunch on day two of #chefscycle! Loved providing fuel for the 130 folks riding to end child hunger!\r\n
'71379814'	'764635775237443584'	'Welcoming football season!  #rams #cowboys\r\n'
'1117427250'	'751828816113373185'	'We grow fearless by doing the very things that we fear the most! #askaceo #motivation\r\n'
'69181624'	'755421910578573312'	"'""Stop murder by the police"" protest outside the #gopconvention #RNCinCLE\r\n'"
'487118986'	'764534038761701376'	'Man stabs several passengers on train in northern #Switzerland,injuring at least six.\r\n'
'1053573614'	'747532302499057664'	The brothers are wondering what movie I'm putting on tonight..little do they know surgery awaits! #RoadtoRio\r\n
'82111248'	'735600723908403201'	'Kim, Guillaume, Barbara, me, David Mei after having honey buttered fried chicken for dinner  = happy lol\r\n'
'8161232'	'759373244453494784'	'Tips on successful business growth from the @BransoncentreSA #readbyrichard\r\n'
'433297321'	'751387991889809412'	'Meet Jane Travers who is our very capable practice manager - keeps me in check & in the right place! @tibdotcom\r\n'
'160026815'	'749512592511475712'	'#transgingers LOL\r\n'
'501164895'	'746815254177341441'	'My dad bought a brand new challenger today\r\n'
'459161511'	'765536672419291136'	'Kicking the tires of this @Kia beauty today in picturesque Virginia. Follow along to #DiscoverCadenza for yourself!\r\n'
'401119469'	'720992565743497216'	'When you beat your face at work... #DeskIsAVanity #OfficeBeat #Beauty #Makeup #Glam ??\r\n'
'30797328'	'762292931701211140'	'Having fun at #COPAESPN today!! Thank you to our sponsor, @verizon, for the bags and water bottles! #espnwisconsin\r\n'
'224221596'	'763472629051297792'	'NOW AVAILABLE!!!!!.\r\n'
'17266725'	'761947923773026304'	'@TonyRobbins and @Joeberlinger on how to find achievement and fulfillment on your journey.\r\n'
'29679737'	'763344199903096832'	You don't have to leave the driver's seat on #lazyday.\r\n
'1393143396'	'713095626813153280'	'When your at work and legitimately crying because Russell sold blue truck. Too many memories\r\n'
'383571783'	'755928820759334912'	'I entered the #PacificaPetsContest for The Secret Life of Pets prizes sponsored by Chrysler\r\n'
'19223152'	'762321391991521280'	'Love #Ontario blueberries, bacon & local treats? Check @LeslieMarket Sun Aug7th open til 2PM!\r\n'
'358381932'	'757326351724638208'	'The support we have from @PridesCrown and this city is unbelievable ! ??????\r\n'
'2533374678'	'751564613284536320'	'Thank you to the Conger Fire Dept. for the amazing pork chop dinner! Quite the chefs!!\r\n'
'1443565116'	'513078091531689984'	'3 electric cars South Lake Hospital - Go Green @orlandohealth @UrologicMD @drive4men  @HuffPostGreen @GreenBuildNews\r\n'
'231673'	'264404815059247104'	@OFA_OH General Wesley Clark touts Obama's leadership as Commander and Chief; says Romney isn't fit to lead our troops\r\n
'3390728889'	'719903265828270083'	'Independence Day stickers - 100,000 have arrived! You can get them at leave.eu!\r\n'
'845533752'	'697062945881223168'	Jon Caldwell, Stratham supports Clinton for experience, but will support Sanders if he's nominated @seacoastonline\r\n
'2382117350'	'708290941023432704'	'ICYMI: Fulbright-Kalam Climate Fellowship agreed to by @POTUS & @narendramodi just launched\r\n'
'14372486'	'764658910317928448'	'Tesla preps an extra long-range battery for its electric cars\r\n'
'459161511'	'765555006049091584'	'14 Ways to Get Dirty in Gateway, Colorado #travel\r\n'
'21689161'	'762090949078028289'	'14 Russian River hot spots in Guerneville, CA:\r\n'
'3068811118'	'765314447883796480'	'Happy birthday, @ElenaSaltzman!\r\n'
'16879936'	'764243098780180480'	'Thank you, @fackinpeter!!!!\r\n'
'58815514'	'762593036912189440'	It's #BackToSchool check-in w/ @KevinAndTaylor on @1047TheFish!  LIVE #ATLtraffic Safe for the whole family.\r\n
'248502523'	'762680682661437440'	'S/o to the allies for dropping #DontCallTheCops banners all over ATL today. More info @\r\n'
'20524917'	'747127291436802048'	'Last chance to experience our legendary burgers from around the world - now through June 30th! #WorldBurgerTour\r\n'
'22591543'	'764909276250779648'	'Japanese/Chinese sub-imperialisms operate in collusion with White supremacy and capitalism.\r\n'
'101248459'	'765173957171576832'	'Jodan Hunt remanded in custody over #Eastbourne car crash deaths\r\n'
'6107422'	'762287195579420672'	Britain's worst rail line is about to get even more dreadful\r\n
'67471875'	'733422170303533056'	'Go dawgs!\r\n'
'248068694'	'730161205701136384'	'#foreverthuggin ???? @Selfpaid_dom you should really get a fb\r\n'
'1635981715'	'635163107883663361'	'Some of our brilliant #ladies took on #ironrun today and smashed it! Well done ladies  #running #obstacles #mud\r\n'
'3342318484'	'759476189249605632'	Today's the big day! Congratulations, TJ & Katie  #wedding #groomsmen #groomswoman #tjsmaz cc: @TJMonster\r\n
'275136227'	'762758509792468994'	'Coup de foudre. / Love at first sight.  #GoHabsGo\r\n'
'18015555'	'665477137265254400'	'Demonstranten op weg naar het demonstratievak.. #sinterklaasintocht #meppel\r\n'
'318457607'	'475081199858110465'	'Madison police officers bring cake! #marriagequality Wisconsin\r\n'
'415392862'	'717641636650618880'	'The Pagani Huayra BC was the star at the launch of the new Pirelli Pzero. #pagani #pirelli #pzero #theperfectfit\r\n'
'299853477'	'758031497584455680'	Where's Waldo, DNC edition\r\n
'78403308'	'756114532540358656'	'Atlanta area veterans: Check out these job resources via @AJC:\r\n'
